"name","state","state_code","type","degree_length","room_and_board","in_state_tuition","in_state_total","out_of_state_tuition","out_of_state_total","total_enrollment","rank","early_career_pay","mid_career_pay","make_world_better_percent","stem_percent","women","native_american","asian","black","hispanic","pacific_islander","white","two_more_races","unkown","foreign","total_minority"
"Aaniiih Nakoda College","Montana","MT","Public","2 Year",NA,2380,2380,2380,2380,291,NA,NA,NA,NA,NA,178,256,0,0,2,0,33,0,0,0,258
"Abilene Christian University","Texas","TX","Private","4 Year",10350,34850,45200,34850,45200,4427,NA,NA,NA,NA,NA,2562,18,46,387,582,0,2959,179,71,185,1212
"Abraham Baldwin Agricultural College","Georgia","GA","Public","2 Year",8474,4128,12602,12550,21024,3458,NA,NA,NA,NA,NA,1822,9,36,407,197,1,2728,30,1,49,680
"Academy College","Minnesota","MN","For Profit","2 Year",NA,17661,17661,17661,17661,127,NA,NA,NA,NA,NA,28,1,10,14,6,3,80,1,12,0,35
"Academy of Art University","California","CA","For Profit","4 Year",16648,27810,44458,27810,44458,15212,NA,NA,NA,NA,NA,8815,70,1092,999,1383,75,3456,312,2652,5173,3931
"Adams State University","Colorado","CO","Public","4 Year",8782,9440,18222,20456,29238,3154,16,44400,81400,56,3,1728,37,37,191,812,10,1776,126,165,0,1213
"Adelphi University","New York","NY","Private","4 Year",16030,38660,54690,38660,54690,7610,NA,NA,NA,NA,NA,5523,10,554,857,1007,6,4058,153,529,436,2587
"Adirondack Community College","New York","NY","Public","2 Year",11660,5375,17035,9935,21595,4247,NA,NA,NA,NA,NA,2437,18,38,126,135,2,3812,76,31,9,395
"Adrian College","Michigan","MI","Private","4 Year",11318,37087,48405,37087,48405,1641,NA,NA,NA,NA,NA,787,3,10,153,80,0,1166,54,174,1,300
"Advanced Technology Institute","Virginia","VA","For Profit","2 Year",NA,13680,13680,13680,13680,717,NA,NA,NA,NA,NA,29,7,19,262,43,1,371,11,3,0,343
"Adventist University of Health Sciences","Florida","FL","Private","4 Year",4200,15150,19350,15150,19350,NA,14,51600,89800,88,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agnes Scott College","Georgia","GA","Private","4 Year",12330,41160,53490,41160,53490,873,14,46000,83600,57,26,867,1,41,288,78,2,284,52,23,104,462
"Aiken Technical College","South Carolina","SC","Public","2 Year",NA,5160,5160,8010,8010,2351,NA,NA,NA,NA,NA,1495,22,28,720,98,3,1433,23,22,2,894
"Aims Community College","Colorado","CO","Public","2 Year",NA,2281,2281,13018,13018,5001,NA,NA,NA,NA,NA,2904,33,63,78,1631,9,3010,97,76,4,1911
"Alabama Agricultural and Mechanical University","Alabama","AL","Public","4 Year",8379,9698,18077,17918,26297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alabama Southern Community College","Alabama","AL","Public","2 Year",NA,4440,4440,8880,8880,1398,NA,NA,NA,NA,NA,853,13,7,608,7,0,742,10,10,1,645
"Alabama State University","Alabama","AL","Public","4 Year",5422,11068,16490,19396,24818,5519,20,39800,71500,61,16,3430,8,20,4950,68,3,208,56,76,130,5105
"Alamance Community College","North Carolina","NC","Public","2 Year",NA,2310,2310,8070,8070,4437,NA,NA,NA,NA,NA,2899,29,76,912,416,1,2730,105,86,82,1539
"Alaska Bible College","Alaska","AK","Private","4 Year",5700,9300,15000,9300,15000,46,NA,NA,NA,NA,NA,25,3,0,0,1,0,41,1,0,0,5
"Alaska Pacific University","Alaska","AK","Private","4 Year",7300,20830,28130,20830,28130,579,3,50300,90000,67,6,384,87,10,13,15,4,321,41,88,0,170
"Albany College of Pharmacy and Health Sciences","New York","NY","Private","4 Year",10920,35105,46025,35105,46025,1563,NA,NA,NA,NA,NA,932,4,228,59,63,2,987,16,86,118,372
"Albany State University","Georgia","GA","Public","4 Year",8878,6726,15604,19802,28680,3910,NA,NA,NA,NA,NA,2698,6,9,3450,45,2,265,22,97,14,3534
"Albany Technical College","Georgia","GA","Public","2 Year",NA,3246,3246,5916,5916,3640,NA,NA,NA,NA,NA,2319,3,10,2918,41,2,636,27,3,0,3001
"Albertus Magnus College","Connecticut","CT","Private","4 Year",13200,32060,45260,32060,45260,1550,18,49700,85900,62,2,1031,6,7,515,217,2,647,20,125,11,767
"Albion College","Michigan","MI","Private","4 Year",12380,45775,58155,45775,58155,1268,7,52100,99300,44,23,631,3,23,47,46,1,999,33,79,37,153
"Albright College","Pennsylvania","PA","Private","4 Year",12070,45306,57376,45306,57376,2393,NA,NA,NA,NA,NA,1405,13,77,374,216,0,1369,21,268,55,701
"Alcorn State University","Mississippi","MS","Public","4 Year",9608,7144,16752,7144,16752,3639,10,40900,69500,67,19,2395,3,10,3386,12,11,102,57,0,58,3479
"Alderson-Broaddus University","West Virginia","WV","Private","4 Year",8860,27910,36770,27910,36770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alexandria Technical and Community College","Minnesota","MN","Public","2 Year",NA,5416,5416,5416,5416,2604,NA,NA,NA,NA,NA,1264,12,12,28,80,2,2335,49,83,3,183
"Alfred University","New York","NY","Private","4 Year",12516,33484,46000,33484,46000,2310,NA,NA,NA,NA,NA,1194,3,44,190,165,0,1419,50,345,94,452
"Allan Hancock College","California","CA","Public","2 Year",NA,1418,1418,7898,7898,11047,NA,NA,NA,NA,NA,5652,74,452,305,5896,50,3906,339,5,20,7116
"Allegany College of Maryland","Maryland","MD","Public","2 Year",NA,4140,4140,9210,9210,3227,NA,NA,NA,NA,NA,2206,4,10,342,47,2,2677,47,57,41,452
"Allegheny College","Pennsylvania","PA","Private","4 Year",12140,47540,59680,47540,59680,2023,NA,NA,NA,NA,NA,1106,2,45,93,127,0,1564,87,28,77,354
"Allegheny Wesleyan College","Ohio","OH","Private","4 Year",4000,6400,10400,6400,10400,62,NA,NA,NA,NA,NA,37,0,1,0,0,0,61,0,0,0,1
"Allen College","Iowa","IA","Private","4 Year",7282,19970,27252,19970,27252,575,5,51600,91300,NA,0,524,0,7,13,2,2,518,5,24,4,29
"Allen County Community College","Kansas","KS","Public","2 Year",5070,3150,8220,3150,8220,2628,NA,NA,NA,NA,NA,1689,32,44,161,212,0,2163,1,12,3,450
"Allen University","South Carolina","SC","Private","4 Year",7230,13340,20570,13340,20570,660,NA,NA,NA,NA,NA,371,0,1,652,4,0,3,0,0,0,657
"Alliant International University","California","CA","Private","4 Year",NA,18000,18000,18000,18000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alma College","Michigan","MI","Private","4 Year",10998,40258,51256,40258,51256,1396,15,48400,89900,52,15,764,9,21,46,51,1,1162,36,56,14,164
"Alpena Community College","Michigan","MI","Public","2 Year",NA,4530,4530,6840,6840,1636,NA,NA,NA,NA,NA,868,20,13,28,16,2,1551,0,6,0,79
"Alvernia University","Pennsylvania","PA","Private","4 Year",NA,34885,34885,34885,34885,2917,NA,NA,NA,NA,NA,2119,7,29,376,205,2,2024,39,227,8,658
"Alverno College","Wisconsin","WI","Private","4 Year",8546,28302,36848,28302,36848,2389,NA,NA,NA,NA,NA,2314,30,117,379,401,7,1341,65,11,38,999
"Alvin Community College","Texas","TX","Public","2 Year",NA,1998,1998,4818,4818,4837,NA,NA,NA,NA,NA,2722,32,246,505,1485,18,2477,1,73,0,2287
"Amarillo College","Texas","TX","Public","2 Year",NA,2670,2670,5880,5880,10336,NA,NA,NA,NA,NA,6352,136,304,525,3940,0,5344,0,86,1,4905
"Amberton University","Texas","TX","Private","4 Year",NA,12840,12840,12840,12840,NA,24,52800,93600,57,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"American Academy McAllister Institute of Funeral Service","New York","NY","Private","2 Year",NA,17160,17160,17160,17160,424,NA,NA,NA,NA,NA,271,4,8,96,41,6,241,0,28,0,155
"American Academy of Art","Illinois","IL","Private","4 Year",NA,34100,34100,34100,34100,365,NA,NA,NA,NA,NA,215,0,23,36,83,2,205,15,0,1,159
"American Academy of Dramatic Arts","New York","NY","Private","2 Year",17955,35160,53115,35160,53115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"American Academy of Dramatic Arts: West","California","CA","Private","2 Year",13255,35160,48415,35160,48415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"American Baptist College","Tennessee","TN","Private","4 Year",8640,10950,19590,10950,19590,157,NA,NA,NA,NA,NA,47,0,0,153,1,0,3,0,0,0,154
"American Indian College of the Assemblies of God","Arizona","AZ","Private","4 Year",6250,958,7208,958,7208,91,NA,NA,NA,NA,NA,49,61,2,5,13,4,6,0,0,0,85
"American International College","Massachusetts","MA","Private","4 Year",14300,35680,49980,35680,49980,3629,NA,NA,NA,NA,NA,2530,11,58,491,216,12,2324,98,412,7,886
"American Jewish University","California","CA","Private","4 Year",17362,31826,49188,31826,49188,204,NA,NA,NA,NA,NA,108,2,0,2,6,1,65,1,127,0,12
"American National University: Charlottesville","Virginia","VA","For Profit","2 Year",NA,18735,18735,18735,18735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"American National University: Danville","Virginia","VA","For Profit","2 Year",NA,18735,18735,18735,18735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"American National University: Harrisonburg","Virginia","VA","For Profit","2 Year",NA,18735,18735,18735,18735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"American National University: Lynchburg","Virginia","VA","For Profit","2 Year",NA,18735,18735,18735,18735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"American National University: Martinsville","Virginia","VA","For Profit","2 Year",NA,18735,18735,18735,18735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"American National University: Salem","Virginia","VA","For Profit","4 Year",NA,18735,18735,18735,18735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"American  University SystemFor-profit","West Virginia","WV","Public","4 Year",NA,8150,8150,8150,8150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"American River College","California","CA","Public","2 Year",NA,1416,1416,9546,9546,29133,NA,NA,NA,NA,NA,15759,227,3095,3014,6034,259,13524,1707,1118,155,14336
"American Samoa Community College",NA,"AS","Public","2 Year",NA,3700,3700,3700,3700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"American University",NA,"DC","Private","4 Year",14880,48459,63339,48459,63339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"American University of Puerto Rico",NA,"PR","Private","4 Year",NA,6946,6946,6946,6946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amherst College","Massachusetts","MA","Private","4 Year",14740,56426,71166,56426,71166,1792,10,63800,116500,45,32,865,6,234,222,235,1,751,81,90,172,779
"Amridge University","Alabama","AL","Private","4 Year",NA,6900,6900,6900,6900,625,24,35700,65900,NA,0,372,0,4,255,5,0,181,0,180,0,264
"Ancilla College","Indiana","IN","Private","2 Year",9600,17330,26930,17330,26930,400,NA,NA,NA,NA,NA,218,1,0,43,38,0,304,12,0,2,94
"Anderson University","South Carolina","SC","Private","4 Year",9830,28000,37830,28000,37830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anderson University","Indiana","IN","Private","4 Year",9890,30450,40340,30450,40340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrew College","Georgia","GA","Private","2 Year",10636,17388,28024,17388,28024,303,NA,NA,NA,NA,NA,158,0,3,147,22,0,114,9,0,8,181
"Andrews University","Michigan","MI","Private","4 Year",9078,29288,38366,29288,38366,3418,21,47600,85000,51,7,1583,10,315,702,458,13,1043,71,79,727,1569
"Angelina College","Texas","TX","Public","2 Year",5500,2625,8125,5535,11035,5148,NA,NA,NA,NA,NA,3262,33,44,662,1020,6,3228,151,0,4,1916
"Angelo State University","Texas","TX","Public","4 Year",9130,8489,17619,20939,30069,6494,NA,NA,NA,NA,NA,3672,28,74,526,1874,9,3490,155,155,183,2666
"Anna Maria College","Massachusetts","MA","Private","4 Year",14630,37860,52490,37860,52490,1430,NA,NA,NA,NA,NA,802,3,21,105,79,3,1035,24,154,6,235
"Anne Arundel Community College","Maryland","MD","Public","2 Year",NA,4110,4110,12180,12180,15274,NA,NA,NA,NA,NA,9093,84,583,2555,916,42,9342,480,1133,139,4660
"Anoka Technical College","Minnesota","MN","Public","2 Year",NA,5584,5584,5584,5584,2221,NA,NA,NA,NA,NA,1294,13,84,164,87,3,1753,69,47,1,420
"Anoka-Ramsey Community College","Minnesota","MN","Public","2 Year",NA,5073,5073,5073,5073,7877,NA,NA,NA,NA,NA,4845,34,342,591,321,12,6143,328,72,34,1628
"Antelope Valley College","California","CA","Public","2 Year",NA,1420,1420,9760,9760,14578,NA,NA,NA,NA,NA,8644,61,473,3021,6748,24,3370,683,182,16,11010
"Antioch College","Ohio","OH","Private","4 Year",7640,35718,43358,35718,43358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antioch University Los Angeles","California","CA","Private","4 Year",NA,20670,20670,20670,20670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antioch University Midwest","Ohio","OH","Private","4 Year",NA,16210,16210,16210,16210,256,NA,NA,NA,NA,NA,182,4,2,71,7,0,154,0,18,0,84
"Antioch University Santa Barbara","California","CA","Private","4 Year",NA,22575,22575,22575,22575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antioch University Seattle","Washington","WA","Private","4 Year",NA,27435,27435,27435,27435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apex School of Theology","North Carolina","NC","Private","4 Year",NA,6200,6200,6200,6200,770,NA,NA,NA,NA,NA,500,0,1,735,2,0,32,0,0,0,738
"Appalachian Bible College","West Virginia","WV","Private","4 Year",7960,14720,22680,14720,22680,302,NA,NA,NA,NA,NA,126,2,1,0,4,2,266,0,26,1,9
"Appalachian State University","North Carolina","NC","Public","4 Year",8304,7214,15518,22021,30325,18026,NA,NA,NA,NA,NA,9974,44,267,584,702,11,15447,441,314,216,2049
"Aquinas College","Michigan","MI","Private","4 Year",9332,32574,41906,32574,41906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aquinas College","Tennessee","TN","Private","4 Year",NA,23600,23600,23600,23600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arapahoe Community College","Colorado","CO","Public","2 Year",NA,4811,4811,18671,18671,10401,NA,NA,NA,NA,NA,5654,65,346,282,1661,22,6751,386,803,85,2762
"Arcadia University","Pennsylvania","PA","Private","4 Year",13800,43580,57380,43580,57380,3939,NA,NA,NA,NA,NA,2822,7,181,361,206,5,2639,123,325,92,883
"Arizona Christian University","Arizona","AZ","Private","4 Year",10674,26796,37470,26796,37470,737,5,42600,76600,NA,7,331,7,18,55,114,5,448,34,43,13,233
"Arizona State University","Arizona","AZ","Public","4 Year",12648,10822,23470,28336,40984,50320,NA,NA,NA,NA,NA,21614,651,3185,1803,8239,103,26155,1765,465,7954,15746
"Arizona Western College","Arizona","AZ","Public","2 Year",6700,2520,9220,9510,16210,7702,NA,NA,NA,NA,NA,4359,92,87,225,5233,23,1474,85,247,236,5745
"Arkansas Baptist College","Arkansas","AR","Private","4 Year",8826,8760,17586,8760,17586,899,NA,NA,NA,NA,NA,298,0,1,847,6,0,37,0,0,8,854
"Arkansas Northeastern College","Arkansas","AR","Public","2 Year",NA,2450,2450,4250,4250,1425,NA,NA,NA,NA,NA,939,5,8,422,53,1,915,21,0,0,510
"Arkansas State University","Arkansas","AR","Public","4 Year",8160,8608,16768,15298,23458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arkansas State University Mid-South","Arkansas","AR","Public","2 Year",NA,3274,3274,5014,5014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arkansas State University: Beebe","Arkansas","AR","Public","2 Year",5280,3600,8880,5760,11040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arkansas State University: Mountain Home","Arkansas","AR","Public","2 Year",NA,3570,3570,5580,5580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arkansas State University: Newport","Arkansas","AR","Public","2 Year",NA,3480,3480,5310,5310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arkansas Tech University","Arkansas","AR","Public","4 Year",7870,9068,16938,15848,23718,12002,13,45000,76900,54,7,6689,121,154,919,728,8,9314,309,0,449,2239
"Arlington Baptist University","Texas","TX","Private","4 Year",6500,13190,19690,13190,19690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armstrong State University","Georgia","GA","Public","4 Year",11385,6384,17769,19866,31251,NA,16,46600,81500,60,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Art Academy of Cincinnati","Ohio","OH","Private","4 Year",6700,33889,40589,33889,40589,209,NA,NA,NA,NA,NA,128,1,5,20,12,1,164,5,0,1,44
"Art Center College of Design","California","CA","Private","4 Year",NA,43416,43416,43416,43416,2045,NA,NA,NA,NA,NA,997,4,666,26,216,9,429,82,33,580,1003
"Art Institute of Houston","Texas","TX","For Profit","4 Year",9600,24024,33624,24024,33624,1887,NA,NA,NA,NA,NA,932,7,91,537,618,10,545,0,79,0,1263
"Art Institute of Philadelphia","Pennsylvania","PA","For Profit","4 Year",NA,14850,14850,14850,14850,1953,NA,NA,NA,NA,NA,996,1,16,117,274,3,153,1,1388,0,412
"Art Institute of Phoenix","Arizona","AZ","For Profit","4 Year",10928,21645,32573,21645,32573,1009,NA,NA,NA,NA,NA,490,40,11,60,335,1,253,17,292,0,464
"Art Institute of Pittsburgh","Pennsylvania","PA","For Profit","4 Year",2758,23376,26134,23376,26134,1280,NA,NA,NA,NA,NA,659,12,14,252,80,6,755,0,161,0,364
"ASA College","New York","NY","For Profit","2 Year",9500,14065,23565,14065,23565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asbury University","Kentucky","KY","Private","4 Year",7160,30198,37358,30198,37358,1879,20,39400,70800,59,4,1142,4,14,92,40,5,1509,99,86,30,254
"Asheville-Buncombe Technical Community College","North Carolina","NC","Public","2 Year",NA,2354,2354,8114,8114,7507,NA,NA,NA,NA,NA,4200,59,70,470,424,13,5996,139,320,16,1175
"Ashford University","California","CA","For Profit","4 Year",NA,12160,12160,12160,12160,51237,NA,NA,NA,NA,NA,36116,482,645,18727,4792,405,23596,1539,955,96,26590
"Ashland Community and Technical College","Kentucky","KY","Public","2 Year",NA,5310,5310,18000,18000,3345,NA,NA,NA,NA,NA,1975,13,11,47,37,1,3064,33,139,0,142
"Ashland University","Ohio","OH","Private","4 Year",9941,21342,31283,21342,31283,5428,NA,NA,NA,NA,NA,2933,19,36,728,135,5,4129,75,90,211,998
"Ashworth College","Georgia","GA","For Profit","2 Year",NA,1399,1399,1399,1399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asnuntuck Community College","Connecticut","CT","Public","2 Year",NA,4404,4404,13170,13170,1603,NA,NA,NA,NA,NA,838,4,54,144,127,1,1190,30,53,0,360
"Assumption College","Massachusetts","MA","Private","4 Year",12694,40958,53652,40958,53652,2719,NA,NA,NA,NA,NA,1683,5,57,134,179,2,1905,54,343,40,431
"Assumption College for Sisters","New Jersey","NJ","Private","2 Year",NA,5888,5888,5888,5888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Athens State University","Alabama","AL","Public","4 Year",NA,6810,6810,12870,12870,3128,15,45000,78800,51,9,2046,48,17,396,63,3,2423,54,107,17,581
"Athens Technical College","Georgia","GA","Public","2 Year",NA,3292,3292,5962,5962,4336,NA,NA,NA,NA,NA,2836,8,93,918,217,5,2796,17,262,20,1258
"Atlanta Metropolitan State College","Georgia","GA","Public","2 Year",NA,4008,4008,12088,12088,2977,NA,NA,NA,NA,NA,1990,3,21,2747,51,7,54,55,17,22,2884
"Atlanta Technical College","Georgia","GA","Public","2 Year",NA,3350,3350,6020,6020,4282,NA,NA,NA,NA,NA,2814,9,34,3967,85,4,101,36,22,24,4135
"Atlantic Cape Community College","New Jersey","NJ","Public","2 Year",NA,5096,5096,8096,8096,6845,NA,NA,NA,NA,NA,4003,38,551,1001,1116,22,3273,93,677,74,2821
"Atlantic University College",NA,"PR","Private","4 Year",NA,4525,4525,4525,4525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Auburn University","Alabama","AL","Public","4 Year",13332,11276,24608,30524,43856,25912,1,54400,104500,51,31,12798,183,601,1886,599,0,20855,0,361,1427,3269
"Auburn University at Montgomery","Alabama","AL","Public","4 Year",6980,10288,17268,22048,29028,5057,13,45000,79600,61,12,3233,23,104,1633,36,9,2572,136,315,229,1941
"Augsburg University","Minnesota","MN","Private","4 Year",10280,38800,49080,38800,49080,NA,12,50500,91000,52,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Augusta Technical College","Georgia","GA","Public","2 Year",NA,3494,3494,6164,6164,4269,NA,NA,NA,NA,NA,2449,19,60,2078,126,7,1773,96,104,6,2386
"Augusta University","Georgia","GA","Public","4 Year",9640,10758,20398,29796,39436,7988,13,47000,84400,69,10,4979,25,500,1687,398,22,4618,328,259,151,2960
"Augustana College","Illinois","IL","Private","4 Year",10572,42135,52707,42135,52707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Augustana University","South Dakota","SD","Private","4 Year",8248,33018,41266,33018,41266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aultman College of Nursing and Health Sciences","Ohio","OH","Private","2 Year",NA,18510,18510,18510,18510,358,NA,NA,NA,NA,NA,313,3,2,16,2,0,314,10,11,0,33
"Aurora University","Illinois","IL","Private","4 Year",11700,24260,35960,24260,35960,5084,NA,NA,NA,NA,NA,3458,19,97,450,927,1,3240,92,249,9,1586
"Austin College","Texas","TX","Private","4 Year",12527,39985,52512,39985,52512,1301,NA,NA,NA,NA,NA,673,14,180,86,254,1,723,4,5,34,539
"Austin Community College","Texas","TX","Public","2 Year",NA,2550,2550,13020,13020,40949,NA,NA,NA,NA,NA,22778,335,1955,2991,12388,77,18704,1132,2064,1303,18878
"Austin Graduate School of Theology","Texas","TX","Private","4 Year",NA,11900,11900,11900,11900,40,NA,NA,NA,NA,NA,15,0,0,19,6,0,15,0,0,0,25
"Austin Peay State University","Tennessee","TN","Public","4 Year",10700,8411,19111,24467,35167,10111,20,44200,78200,63,10,6110,40,157,1902,575,19,6637,514,224,43,3207
"Ave Maria University","Florida","FL","Private","4 Year",11436,20850,32286,20850,32286,1081,NA,NA,NA,NA,NA,518,5,29,55,178,0,736,0,52,26,267
"Averett University","Virginia","VA","Private","4 Year",9976,34400,44376,34400,44376,872,NA,NA,NA,NA,NA,462,6,6,239,33,0,541,0,5,42,284
"Avila University","Missouri","MO","Private","4 Year",7200,19900,27100,19900,27100,1907,17,45900,81200,68,3,1245,14,31,359,125,5,1134,43,0,196,577
"Azusa Pacific University","California","CA","Private","4 Year",10076,38880,48956,38880,48956,9972,NA,NA,NA,NA,NA,6731,33,1013,571,2447,88,4408,439,680,293,4591
"Babson College","Massachusetts","MA","Private","4 Year",16312,51104,67416,51104,67416,3049,4,72000,133800,37,0,1305,4,274,119,244,2,1194,58,240,914,701
"Baker University","Kansas","KS","Private","4 Year",8410,29830,38240,29830,38240,2957,10,47800,84200,55,2,1729,54,43,281,147,11,2194,39,164,24,575
"Bakersfield College","California","CA","Public","2 Year",NA,1418,1418,7838,7838,18698,NA,NA,NA,NA,NA,10486,73,689,748,12269,19,4158,591,103,48,14389
"Baldwin Wallace University","Ohio","OH","Private","4 Year",9554,32586,42140,32586,42140,3979,NA,NA,NA,NA,NA,2215,4,58,327,189,3,3173,136,29,60,717
"Ball State University","Indiana","IN","Public","4 Year",10234,9896,20130,26468,36702,20655,22,45600,83700,48,7,12538,26,215,1378,692,24,16267,411,849,793,2746
"Baltimore City Community College","Maryland","MD","Public","2 Year",NA,2893,2893,6973,6973,5024,NA,NA,NA,NA,NA,3465,11,121,3976,139,12,384,100,94,187,4359
"Baptist Bible College","Missouri","MO","Private","4 Year",7500,14150,21650,14150,21650,373,NA,NA,NA,NA,NA,160,6,5,14,16,1,321,9,1,0,51
"Baptist College of Florida","Florida","FL","Private","4 Year",4612,12300,16912,12300,16912,486,NA,NA,NA,NA,NA,179,3,2,32,21,1,388,14,25,0,73
"Baptist College of Health Sciences","Tennessee","TN","Private","4 Year",2900,14700,17600,14700,17600,1170,NA,NA,NA,NA,NA,1067,0,22,497,23,0,604,3,21,0,545
"Baptist Missionary Association Theological Seminary","Texas","TX","Private","4 Year",3150,6690,9840,6690,9840,137,NA,NA,NA,NA,NA,16,0,5,36,4,0,85,0,3,4,45
"Baptist University of the Americas","Texas","TX","Private","4 Year",2500,7800,10300,7800,10300,174,NA,NA,NA,NA,NA,81,0,1,4,115,0,14,0,0,40,120
"Barclay College","Kansas","KS","Private","4 Year",9300,19690,28990,19690,28990,251,NA,NA,NA,NA,NA,118,4,1,26,13,0,189,4,10,4,48
"Bard College","New York","NY","Private","4 Year",15488,54680,70168,54680,70168,2469,NA,NA,NA,NA,NA,1388,14,115,152,31,0,1385,0,488,284,312
"Bard College at Simon's Rock","Massachusetts","MA","Private","4 Year",14916,55732,70648,55732,70648,329,NA,NA,NA,NA,NA,194,1,19,18,8,1,171,23,39,49,70
"Barnard College","New York","NY","Private","4 Year",17225,55032,72257,55032,72257,2573,NA,NA,NA,NA,NA,2568,1,367,168,286,1,1409,133,16,192,956
"Barry University","Florida","FL","Private","4 Year",11100,29850,40950,29850,40950,8518,24,47400,84400,66,12,5589,28,182,2090,2032,12,1983,87,1534,570,4431
"Barstow Community College","California","CA","Public","2 Year",NA,1391,1391,9131,9131,1859,NA,NA,NA,NA,NA,1054,20,49,266,822,17,564,103,15,3,1277
"Barton College","North Carolina","NC","Private","4 Year",10120,30880,41000,30880,41000,1035,NA,NA,NA,NA,NA,716,9,12,245,55,0,604,28,52,30,349
"Barton County Community College","Kansas","KS","Public","2 Year",5794,3440,9234,3440,9234,5292,NA,NA,NA,NA,NA,2599,36,209,680,530,47,3557,84,125,24,1586
"Bastyr University","Washington","WA","Private","4 Year",7590,26166,33756,26166,33756,1202,22,48400,86300,NA,0,989,6,121,43,42,0,775,73,67,75,285
"Bates College","Maine","ME","Private","4 Year",15224,53794,69018,53794,69018,1773,3,59500,111900,50,23,894,4,82,85,120,0,1274,72,14,122,363
"Bates Technical College","Washington","WA","Public","2 Year",NA,4783,4783,10214,10214,2907,NA,NA,NA,NA,NA,1467,71,142,261,210,32,1656,19,513,3,735
